"Intel Core i7 8700"
"CPUs 1151 8gen - i3 8100, i3 8100T, i5 8400 e i7 8700","19.0","","3.02140635390422 km","Alvalade","21 de junho de 2025","https://www.olx.pt//d/anuncio/cpus-1151-8gen-i3-8100-i3-8100t-i5-8400-e-i7-8700-IDIsbmh.html"
"Intel Core i5-760 2.8GHz (Turbo 3.3GHz) | socket 1156","20.0","","4.520598082917221 km","Avenidas Novas","21 de junho de 2025","https://www.olx.pt//d/anuncio/intel-core-i5-760-2-8ghz-turbo-3-3ghz-socket-1156-IDIQjjg.html"
"Core i7 920xm 4core/8 threads","20.0","Negociável","15.461704851670667 km","Agualva E Mira-Sintra","15 de junho de 2025","https://www.olx.pt//d/anuncio/core-i7-920xm-4core-8-threads-IDIxMu9.html"
"Gigabyte GA-8I945P-G + CPU Intel 930D dual core (LGA 775)","20.0","","13.812655737085707 km","Algés, Linda-A-Velha E Cruz Quebrada-Dafundo","06 de junho de 2025","https://www.olx.pt//d/anuncio/gigabyte-ga-8i945p-g-cpu-intel-930d-dual-core-lga-775-IDIb1dv.html"
"Processador cpu 775 dual core i ntel E8500","25.0","","9.463889054937212 km","Falagueira-Venda Nova","25 de junho de 2025","https://www.olx.pt//d/anuncio/processador-cpu-775-dual-core-i-ntel-e8500-IDzJA79.html"
"Processador Intel I7-3610QM","35.0","","26.179258988602513 km","Mafra","19 de junho de 2025","https://www.olx.pt//d/anuncio/processador-intel-i7-3610qm-IDHYKPa.html"
"I7 5930K Intel processador CPU","40.0","","8.237396163588778 km","Loures","11 de junho de 2025","https://www.olx.pt//d/anuncio/i7-5930k-intel-processador-cpu-IDITFnD.html"
"Cpu/Processador intel Core i7 2600 a 3.40 Ghz","40.0","","23.469403395672256 km","Quinta do Conde","11 de junho de 2025","https://www.olx.pt//d/anuncio/cpu-processador-intel-core-i7-2600-a-3-40-ghz-IDITHUW.html?reason=extended_search_extended_semantic"
"Cpu/processador intel Core i7 6700T a 2.80 Ghz para socket 1151","50.0","","23.469403395672256 km","Quinta do Conde","13 de junho de 2025","https://www.olx.pt//d/anuncio/cpu-processador-intel-core-i7-6700t-a-2-80-ghz-para-socket-1151-IDITQ8j.html"
"Intel core i5 8500 3.0 ghz","50.0","","9.300602428671933 km","Águas Livres","20 de junho de 2025","https://www.olx.pt//d/anuncio/intel-core-i5-8500-3-0-ghz-IDIQeGT.html"
"Processador AMD Ryzen 7 1700X Octa-Core 3.4GHz-3.8Ghz 16MB AM4","50.0","","18.856189819994615 km","Charneca De Caparica E Sobreda","26 de junho de 2025","https://www.olx.pt//d/anuncio/processador-amd-ryzen-7-1700x-octa-core-3-4ghz-3-8ghz-16mb-am4-IDH1tdc.html"
"Processador Intel i7 - 6700","60.0","","13.554466678115384 km","Massamá E Monte Abraão","19 de junho de 2025","https://www.olx.pt//d/anuncio/processador-intel-i7-6700-IDIUeYV.html"
"CPU / Processador - i7-6700 SR2L2 3.40GHZ L610F323","70.0","Negociável","6.583934954999185 km","Santa Iria De Azoia, São João Da Talha E Bobadela","25 de junho de 2025","https://www.olx.pt//d/anuncio/cpu-processador-i7-6700-sr2l2-3-40ghz-l610f323-IDIUDyG.html"
